Unnamed: 0,label,text
0,Psoriasis,experiencing skin rash arm leg torso past week red itchy covered dry scaly patch
1,Psoriasis,skin peeling especially knee elbow scalp peeling often accompanied burning stinging sensation
2,Psoriasis,experiencing joint pain finger wrist knee pain often achy throbbing get worse move joint
3,Psoriasis,silver like dusting skin especially lower back scalp dusting made small scale flake easily scratch
4,Psoriasis,nail small dent pit often feel inflammatory tender touch even minor rash arm
5,Psoriasis,skin palm sol thickened deep crack crack painful bleed easily
6,Psoriasis,skin around mouth nose eye red inflamed often itchy uncomfortable noticeable inflammation nail
7,Psoriasis,skin sensitive reacts easily change temperature humidity often careful product use skin
8,Psoriasis,noticed sudden peeling skin different part body mainly arm leg back also face severe joint pain skin rash
9,Psoriasis,skin genitals red inflamed often itchy burning uncomfortable rash different part body
10,Psoriasis,experienced fatigue general feeling malaise often feel tired lack energy even good night sleep
11,Psoriasis,rash skin spread part body including chest abdomen itchy uncomfortable often worse night also facing skin peeling
12,Psoriasis,rash skin worse winter month air dry find moisturize frequently use humidifiers keep skin hydrated
13,Psoriasis,experienced difficulty sleeping due itching discomfort caused rash small dent nail really concerning
14,Psoriasis,skin prone infection due dry flaky patch experiencing strong pain joint skin knee elbow starting peel
15,Psoriasis,starting rash skin rash often bleeds scratch rub moreover noticed small dent nail
16,Psoriasis,noticed skin become sensitive used silver like dusting skin especially back elbow
17,Psoriasis,worried constant peeling skin palm elbow knee developed rash arm itch touch making life quite discomforting miserable
18,Psoriasis,strange pain joint also noticed strange peeling skin different part body afraid something wrong going body
19,Psoriasis,nail small dent even joint started pain severely silver like dusting skin particularly back
20,Psoriasis,rash skin healing moreover noticed sudden peeling skin especially skin elbow knee really worried
21,Psoriasis,past week ive skin rash arm leg chest red irritating dry scaly spot strange pain joint
22,Psoriasis,skin peeling particularly knee elbow scalp peeling frequently accompanied stinging burning feeling
23,Psoriasis,im joint discomfort finger wrist knee pain frequently aching throbbing worsens move joint
24,Psoriasis,skin silvery film particularly back arm scalp dusting composed tiny scale easily peel scratched
25,Psoriasis,red inflammatory skin around mouth nose eye frequently irritating unpleasant recently got painful
26,Psoriasis,skin extremely sensitive quickly irritated change temperature humidity nail developed dent worried sudden change
27,Psoriasis,ive seen sudden peeling skin various region body mostly arm leg back addition significant joint pain skin rash rash spreading different part body
28,Psoriasis,genital skin red irritated frequently irritating burning unpleasant also rash various place body also strange pain joint
29,Psoriasis,ive trouble sleeping itching pain produced rash nail little dent really alarming noticeable inflammation nail
30,Psoriasis,dry flaky area skin prone infection joint excruciating agony skin knee elbow beginning flake
31,Psoriasis,skin breaking rash scratch rub rash frequently bleeds addition ive observed little dent nail noticeable inflammation nail
32,Psoriasis,ive observed skin sensitive used skin silvery film especially back elbow
33,Psoriasis,palm sol grown developed severe fissure crack unpleasant frequently bleed also skin starting peel
34,Psoriasis,nail starting small pit worried dont know causing also joint pain rash arm back
35,Psoriasis,silver like dusting skin moreover skin arm back starting peel strange really concerning
36,Psoriasis,skin rash extended area body including chest belly irritating unpleasant frequently worst night im also experiencing skin flaking
37,Psoriasis,skin rash get worse winter air dry keep skin moisturized moisturize regularly use humidifiers also facing joint pain
38,Psoriasis,ive trouble sleeping itching pain produced rash nail little dent also experiencing skin peeling different part body
39,Psoriasis,skin peeling place especially knee elbow arm peeling often accompanied painful burning sensation also developing small dent nail really concerning
40,Psoriasis,skin silvery layer especially back arm dusting made small scale peel readily rubbed also rash body
41,Psoriasis,arm face back red irritated frequently irritating unpleasant nail strange inflammation developed small dent never seen anything like
42,Psoriasis,ive trouble sleeping itching pain produced rash nail little dent really alarming moreover joint pain everyday idea causing
43,Psoriasis,finger sol pretty thick skin cracked severely fracture hurt bleed frequently fracture itchy covered scale
44,Psoriasis,skin changed le sensitive sensitive skin silvery coating especially back elbow knee
45,Psoriasis,nail slightly dented even joint experiencing excruciating discomfort skin silverlike powder especially back elbow
46,Psoriasis,ive trouble falling asleep rash pain itching skin finger starting peel nail tiny crack really worrying
47,Psoriasis,joint experiencing unusual discomfort additionally ive experienced weird skin peeling various place body im concerned something wrong body
48,Psoriasis,starting rash arm neck rash often bleeds hurt scratch also developed small dent nail strange
49,Psoriasis,dry flaky area skin prone infection joint extreme pain knee elbow skin starting peel
50,Varicose Veins,rash leg causing lot discomfort seems cramp see prominent vein calf also feeling tired fatigued past couple day
51,Varicose Veins,calf cramping walk stand long period time bruise mark calf making worried feel tired soon
52,Varicose Veins,bruising leg explain see strange blood vessel skin also slightly obese really worried
53,Varicose Veins,overweight noticed leg swollen blood vessel visible leg swollen see stream swollen vein calf
54,Varicose Veins,vein calf become prominent causing discomfort cant stand long period time cause pain leg similar cramp
55,Varicose Veins,skin around vein leg red inflamed believe see swollen blood vessel really worried
56,Varicose Veins,standing walking long period time cause lot pain leg get cramp upon physical activity bruise mark leg
57,Varicose Veins,cramp calf making difficult walk feel fatigued working time believe obesity reason behind
58,Varicose Veins,swelling leg gotten worse past week large number vein noticeable calf making worried
59,Varicose Veins,vein leg noticeable cause discomfort seems like major bruise get cramp run
60,Varicose Veins,skin calf become inflamed red leg hurt try run physical activity
61,Varicose Veins,recently pain calf constant becomes worse stand walk long period time leg started swell also blood vessel quite noticeable
62,Varicose Veins,vein leg causing discomfort difficulty sleeping night idea happening get cramp sprint
63,Varicose Veins,swelling leg causing difficulty fitting shoe cant sprint stand long period time see swollen blood vessel
64,Varicose Veins,noticed cramp calf becoming frequent intense causing lot discomfort also overweight leg started swell
65,Varicose Veins,vein leg cause lot discomfort sit long period time
66,Varicose Veins,rash leg spreading becoming severe become difficult run
67,Varicose Veins,leg causing lot discomfort exercise get frequent cramp blood vessel become quite noticeable
68,Varicose Veins,prominent blood vessel calf causing selfconsciousness embarrassment believe problem overweight
69,Varicose Veins,skin around vein leg dry flaky seems major bruise leg started swell
70,Varicose Veins,experiencing rash leg causing lot irritation discomfort red inflamed appears spreading
71,Varicose Veins,recently calf cramping frequently especially walking standing long period time also vein noticeable
72,Varicose Veins,noticed bruise leg explain painful concerning
73,Varicose Veins,overweight noticed leg swollen blood vessel visible usual swelling seems getting worse time
74,Varicose Veins,vein calf prominent causing lot discomfort swollen protrude skin
75,Varicose Veins,skin around vein leg red inflamed itchy causing lot discomfort starting get regular cramp
76,Varicose Veins,standing walking long period time causing lot pain leg feel like cramp becomes worse longer foot
77,Varicose Veins,cramp calf making difficult walk daily activity come suddenly last several minute
78,Varicose Veins,swelling leg gotten worse past week causing difficulty fitting shoe also causing discomfort sit long period time
79,Varicose Veins,vein leg noticeable causing lot discomfort swollen protrude skin making visible clothing
80,Varicose Veins,skin calf itchy inflamed causing lot discomfort difficulty sleeping night blood vessel started protrude concerning
81,Varicose Veins,pain calf constant becomes worse stand walk long period time getting constant cramp cant run longer period time
82,Varicose Veins,vein leg causing discomfort difficulty sleeping night swollen protruding skin making noticeable painful
83,Varicose Veins,swelling leg causing difficulty fitting shoe causing discomfort sit long period time
84,Varicose Veins,cramp calf becoming frequent intense making difficult walk daily activity
85,Varicose Veins,vein leg causing lot discomfort sit long period time swollen protruding skin making painful noticeable
86,Varicose Veins,rash leg spreading becoming severe red inflamed itchy causing lot discomfort difficulty sleeping night
87,Varicose Veins,leg causing lot discomfort exercise feel heavy swollen vein prominent painful feel fatigued time
88,Varicose Veins,prominent vein calf causing selfconsciousness embarrassment swollen protrude skin making noticeable
89,Varicose Veins,skin around vein leg dry flaky causing discomfort irritation also starting get frequent cramp
90,Varicose Veins,rash leg giving lot pain appears cramp see visible vein calf
91,Varicose Veins,vein leg become visible swollen normal visible skin hurt move
92,Varicose Veins,walking tough cramp calf obesity believe cause working im exhausted
93,Varicose Veins,blood vessel leg quite visible give lot pain theyre large protrude skin unusual worried
94,Varicose Veins,noticed blood vessel leg getting noticeable usual little concerning moreover experiencing cramp every day
95,Varicose Veins,leg swelling become worse last couple day see blood vessel protruding skin quite unusual
96,Varicose Veins,long duration standing walking caused severe discomfort leg burning ache get worse longer im foot
97,Varicose Veins,leg skin around vein unusual appears large bruise nowadays get frequent cramp sprint run
98,Varicose Veins,experiencing many cramp last couple day think something right believe small bruise calf sure
99,Varicose Veins,vein calf protruding quite unusually worried also overweight believe reason behind
100,Typhoid,constipation belly pain really uncomfortable belly pain getting worse starting affect daily life moreover get chill every night followed mild fever
101,Typhoid,ive also diarrhea really unpleasant coming going accompanied abdominal cramp bloating
102,Typhoid,experiencing chill fever along severe abdominal pain ive feeling really miserable overall cant seem shake symptom
103,Typhoid,ive lot trouble keeping hydrated vomiting diarrhea mild fever along constipation headache
104,Typhoid,ive lost lot weight past week havent able eat much due nausea vomiting followed mild fever headache belly pain im really concerned health
105,Typhoid,fatigue really uncomfortable ive lot difficulty usual activity ive also feeling really depressed irritable mild pain abdominal part
106,Typhoid,ive persistent headache past week getting worse accompanied belly ache constipation diarrhea
107,Typhoid,ive experiencing high fever especially night really uncomfortable mild headache along constipation diarrhea
108,Typhoid,ive lot difficulty breathing feel like im constantly nauseous also mild belly pain terrifying time
109,Typhoid,diarrhea really watery foulsmelling accompanied abdominal pain feel like vomiting time
110,Typhoid,ive lot trouble sleeping high fever headache chill wake every day terrible pain belly area
111,Typhoid,ive also experiencing diarrhea constipation really worrying feel like sharp stabbing pain belly area feel tired time
112,Typhoid,constipation belly pain really uncomfortable pain getting worse really affecting daily life
113,Typhoid,experiencing lot belly pain constipation really annoying sometimes feel strong urge vomit feeling weak
114,Typhoid,abdominal pain coming going really unpleasant accompanied constipation vomiting feel really concerned health
115,Typhoid,experiencing lot bloating constipation really uncomfortable feel like there lot pressure pain belly area
116,Typhoid,experiencing extreme belly pain constipation every night severe fever along chill headache last couple day really uncomfortable
117,Typhoid,ive feeling exhausted weak cant seem get rid vomiting nausea ive entirely lost appetite belly pain causing concern
118,Typhoid,experiencing constipation stomach ache really difficult discomfort gotten worse seriously interfering everyday life
119,Typhoid,vomiting diarrhea ive lot difficulty staying hydrated high fever well constipation headache
120,Typhoid,abdominal pain frequent really painful constipation vomiting also occurred im quite worried health
121,Typhoid,im severe stomach pain constipation every night get headache chill last day really painful
122,Typhoid,distinct pain abdominal part sure also going constant vomiting feel nauseous
123,Typhoid,diarrhea quite fluid smelly accompanied severe abdominal pain headache time feel like vomiting
124,Typhoid,fever last couple day starting experience severe pain stomach area suffering constipation
125,Typhoid,experiencing lot nausea vomiting quite difficult eat anything ive entirely lost appetite result become quite weak
126,Typhoid,lot trouble sleeping high fever headache moreover constant belly pain cant go work
127,Typhoid,feeling really fatigued weak cant seem get rid mild fever strange pain abdominal area cant understand happening
128,Typhoid,ive suffering constipation stomach discomfort really uncomfortable last night mild fever
129,Typhoid,ive also suffering diarrhea really uncomfortable come go accompanied stomach ache vomiting
130,Typhoid,ive experiencing chill fever extreme stomach discomfort ive generally unhappy cant seem get rid symptom
131,Typhoid,vomiting diarrhea ive lot difficulty staying hydrated mild fever well stomach pain
132,Typhoid,developed diarrhea accompanied severe pain belly area dont feel like eating anything time mild headache
133,Typhoid,ive lot bloating constipation really painful lot pressure pain stomach area get high fever chill every night
134,Typhoid,ive persistent stomach pain past week healing even medication feel like vomiting cant eat anything become extremely weak
135,Typhoid,severe stomach discomfort diarrhoea high fever along headache previous several day really unpleasant
136,Typhoid,terrible pain abdominal part ive feeling really nauseated im also experiencing mild fever really worried
137,Typhoid,experiencing constipation stomach ache discomfort gotten worse seriously interfering everyday life feel like lost appetite eat anything
138,Typhoid,time feel fatigued dont want eat anything get high fever chill every night moreover vomiting since yesterday
139,Typhoid,lost appetite noticed significant weight loss abdominal pain especially area stomach intestine concerned health
140,Typhoid,stomach discomfort severe frequent vomiting constipation also happened im concerned health
141,Typhoid,experiencing diarrhea loose watery stool several time day lost appetite feel nauseated time starting get mild fever
142,Typhoid,feeling quite weak im lot stomach discomfort constipation really bothering strong urge vomit time result cant eat anything
143,Typhoid,strange pain stomach area dont know reason behind moreover starting get mild fever along chill headache
144,Typhoid,ive high fever particularly night quite unpleasant little headache well constipation diarrhea dont feel like eating anything
145,Typhoid,ive lot trouble staying hydrated vomiting diarrhea high fever constipation headache also starting get strange pain stomach area cant anything physical
146,Typhoid,getting headache past week growing worse accompanied stomach pain constipation diarrhea dont know happening really worried
147,Typhoid,ive lost lot weight last week couldnt eat much due nausea vomiting followed high fever headache stomach pain
148,Typhoid,diarrhea constipation quite concerning stomach severe painful ache im constantly exhausted dont feel like eating anything
149,Typhoid,ive diarrhoea loose watery stool many time day ive lost appetite always sick im also developing mild fever also abdominal part pain lot dont know reason behind
150,Chicken pox,ive experiencing intense itching skin driving crazy also rash thats red inflamed
151,Chicken pox,im feeling fatigued energy barely keep eye open day ive feeling lethargic unable motivate
152,Chicken pox,ive high fever past day dont know whats causing also noticed rash skin hard resist scratching
153,Chicken pox,ive lost appetite cant seem eat anything im worried health
154,Chicken pox,small red spot body cant explain worrying feel extremely tired experience mild fever every night
155,Chicken pox,lymph node swollen causing discomfort neck armpit dont know whats causing
156,Chicken pox,im feeling really sick uncomfortable like something wrong inside dont know could noticed small red spot arm itch touch
157,Chicken pox,itching making hard sleep night cant get rest also lost appetite feel lethargic
158,Chicken pox,im worried rash skin spreading rapidly causing lot discomfort hardly sleep night itching
159,Chicken pox,energy lost appetite im feeling really sick dont know whats wrong
160,Chicken pox,skin rash thats red inflamed spreading body ive experiencing intense itching especially arm leg
161,Chicken pox,ive high fever past day starting worry dont know whats causing also red spot arm leg swollen
162,Chicken pox,skin rash thats red swollen spreading body mild fever causing lot discomfort
163,Chicken pox,im feeling fatigued energy barely keep eye open day ive feeling lethargic unable motivate
164,Chicken pox,small red spot body cant explain bump itchy uncomfortable seem spread rapidly worrying
165,Chicken pox,itching making hard sleep night cant seem get rest rash itchy uncomfortable im feeling really tired exhausted
166,Chicken pox,energy lost appetite high fever severe headache dont know whats wrong
167,Chicken pox,high fever swollen lymph node causing much discomfort headache feel weak fatigued hard concentrate fever
168,Chicken pox,rash skin causing lot discomfort red inflamed spreading body rash accompanied intense itching especially arm leg
169,Chicken pox,red spot body cant explain spot itchy starting swell spreading rapidly
170,Chicken pox,small lymph node arm face itching making day uncomfortable
171,Chicken pox,energy lost appetite im feeling really sick dont know whats wrong also small red spot starting show skin
172,Chicken pox,ive mild fever past day starting worry fever accompanied severe headache feel weak lethargic
